Date,Speaker,Institution,Speaker URL,Title,Paper URL,Status,Special start time,Special end time,Special location
2026-10-01,Luigi Pistaferri,,,,,Scheduled,12:00,13:15,IFS Seminar room
2026-10-08,Jonathan Elliott,,,,,Scheduled,12:00,13:15,IFS Seminar room
2026-10-12,Matthew Nibloe,,,,,Scheduled,14:00,15:30,Archaeology 612
2026-10-15,Clara von Bismarck-Osten,,,,,Scheduled,12:00,13:15,IFS Seminar room
2026-10-19,Arthur Laroche,,,,,Scheduled,14:00,15:30,Archaeology 612
2026-10-22,Emma Scandolo,,,,,Scheduled,12:00,13:15,IFS Seminar room
2026-10-26,Hikaru Kawarazaki,,,,,Scheduled,14:00,15:30,Archaeology 612
2026-10-29,Ruimin Ao,,,,,Scheduled,12:00,13:15,IFS Seminar room
2026-11-02,Ararat Gocmen,,,,,Scheduled,14:00,15:30,Archaeology 612
2026-11-05,Yasuka Tateishi,,,,,Scheduled,12:00,13:15,IFS Seminar room
2026-11-16,Courtney Brell,,,,,Scheduled,14:00,15:30,Archaeology 612
2026-11-19,Daiji Kawaguchi,,,,,Scheduled,12:00,13:15,IFS Seminar room
2026-11-23,Giuseppe Forte,,,,,Scheduled,14:00,15:30,Archaeology 612
2026-11-26,Chao Fu,,,,,Scheduled,12:00,13:15,IFS Seminar room
2026-12-03,Isaac Sorkin,,,,,Scheduled,12:00,13:15,IFS Seminar room
2026-12-10,Deivy Houeix,,,,,Scheduled,12:00,13:15,IFS Seminar room
2026-12-17,Charles Hodgson,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-02-25,Mert Demirer,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-03-04,Mathias Reynaert,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-03-11,Ryan Kellogg,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-03-18,Andreas Moxnes,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-04-29,Rebecca Diamond,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-05-06,Simon Franklin,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-05-13,Jesse Bruhn,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-05-20,Pierre Bodere,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-05-27,Garima Sharma,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-06-03,Mushfiq Mobarak,,,,,Scheduled,12:00,13:15,IFS Seminar room
2027-06-08,Pat Kline,,,,,Scheduled,,,
2027-06-10,Myrto Kalouptsidi,,,,,Scheduled,12:00,13:15,IFS Seminar room
